Word base            L.key                Suffixes id          W.form key                     W.form
hajde                FX#EXCL#DOZ          -                    -                              hajde
halo                 FX#EXCL#DOZ          -                    -                              halo
he                   FX#EXCL#OSJ          -                    -                              he
hej                  FX#EXCL#DOZ          -                    -                              hej
hej                  FX#EXCL#OSJ          -                    -                              hej
hm                   FX#EXCL#OSJ          -                    -                              hm
hop                  FX#EXCL#ONO          -                    -                              hop
htjeti               CH#V#                -                    V#ADV_PAS#|#1                  nećavši
htjeti               CH#V#                -                    V#ADV_PRE#|#1                  hoteći
htjeti               CH#V#                V##AOR/o/            V#AOR#|S/1#1                   htjedoh
htjeti               CH#V#                V##AOR/o/            V#AOR#|S/2#1                   htjede
htjeti               CH#V#                V##AOR/o/            V#AOR#|S/3#1                   htjede
htjeti               CH#V#                V##AOR/o/            V#AOR#|P/1#1                   htjedosmo
htjeti               CH#V#                V##AOR/o/            V#AOR#|P/2#1                   htjedoste
htjeti               CH#V#                V##AOR/o/            V#AOR#|P/3#1                   htjedoše
htjeti               CH#V#                V##IMP/ij/           V#IMP#|S/1#1                   htijah
htjeti               CH#V#                V##IMP/ij/           V#IMP#|S/2#1                   htijaše
htjeti               CH#V#                V##IMP/ij/           V#IMP#|S/3#1                   htijaše
